Time [min]	AIF shifted [SUV]
0.0	0.03986716278512143
0.016673528200905723	0.0
0.033347056401811445	0.0
0.05002058460271717	0.0
0.06669411280362289	0.00042855026987508754
0.08336764100452862	0.07961145398061532
0.10004116920543434	0.0
0.11671469740634005	0.0
0.13338822560724578	0.0004905668124468368
0.1500617538081515	0.06957391675348128
0.16673528200905724	0.00023502683008438732
0.18340881020996294	0.030128825012484338
0.20008233841086867	0.03980619675491037
0.2167558666117744	0.009926818063230994
0.2334293948126801	0.0
0.25010292301358583	9.901073639905659e-05
0.26677645121449156	0.01063960467654139
0.2834499794153973	0.06961601965139123
0.300123507616303	0.020324219849692442
0.31679703581720875	0.044587466868060845
0.3334705640181145	0.0
0.35014409221902015	0.0
0.3668176204199259	0.00038394926764796593
0.3834911486208316	0.029687948211368293
0.40016467682173734	0.0
0.41683820502264307	0.0014743350420819
0.4335117332235488	0.10381053208069489
0.45018526142445453	0.0
0.4668587896253602	0.00015285046801752616
0.48353231782626593	0.011054930699241027
0.5002058460271717	0.07454108602037943
0.5168793742280774	0.031018794729142703
0.5335529024289831	0.08472664200768582
0.5502264306298889	0.05054053810248639
0.5668999588307946	0.07294431574933377
0.5835734870317003	0.22362573821572557
0.600247015232606	0.3763854943701967
0.6169205434335118	0.6367919730877724
0.6335940716344175	0.855030929671902
0.6502675998353232	1.188964239778244
0.666941128036229	1.86846725308325
0.6836146562371346	1.8699468360743474
0.7002881844380403	2.1673878365218444
0.716961712638946	2.2689322811016805
0.7336352408398518	2.636158027868572
0.7503087690407575	2.998321053816303
0.7669822972416632	3.1412293450424125
0.783655825442569	3.572343767303902
0.8003293536434747	3.7301329555833243
0.8170028818443804	4.358872569031616
0.8336764100452861	4.566898919247815
0.8503499382461919	5.02848531635346
0.8670234664470976	5.419952137310984
0.8836969946480033	5.757384329553693
0.9003705228489091	6.263942944086394
0.9170440510498148	6.316135157347751
0.9337175792507204	6.770379239462556
0.9503911074516261	6.727304661751318
0.9670646356525319	7.777213099455685
0.9837381638534376	7.311669257442256
1.0004116920543433	7.2690891303178935
1.0170852202552492	7.465976721865331
1.0337587484561548	7.64031778597263
1.0504322766570606	7.416573964245081
1.0671058048579662	8.051360617334627
1.0837793330588719	7.540061299476174
1.1004528612597777	7.562783054523389
1.1171263894606833	7.489726622646557
1.1337999176615892	7.616690678906553
1.1504734458624948	7.44981386505841
1.1671469740634006	7.530642438331585
1.1838205022643062	7.159173011885137
1.200494030465212	7.250178813836932
1.2171675586661177	7.160945387308032
1.2338410868670235	6.5382309755868375
1.2505146150679292	6.531595811716914
1.267188143268835	6.316369220077564
1.2838616714697406	5.999662691305627
1.3005351996706465	5.9734551238037925
1.317208727871552	6.017932138422049
1.333882256072458	5.4984448348132045
1.3505557842733635	5.3657495821860115
1.3672293124742692	5.194873748248321
1.383902840675175	5.382741783130415
1.4005763688760806	4.728942883394552
1.4172498970769865	5.108911639774323
1.433923425277892	4.769607572469779
1.450596953478798	4.757278034220443
1.4672704816797035	4.560797294680736
1.4839440098806094	4.482658900874258
1.500617538081515	4.343014491466514
1.5172910662824208	4.347130153624191
1.5339645944833264	4.2161821266641635
1.5506381226842323	4.406973356100004
1.567311650885138	3.9966336561204527
1.5839851790860437	3.9141410749786307
1.6006587072869494	4.2098821035663425
1.617332235487855	3.8929758025192363
1.6340057636887608	3.8297280685930315
1.6506792918896664	3.9175504426361982
1.6673528200905723	3.926488679076299
1.684026348291478	3.8990960504453542
1.7006998764923837	3.8199648457141895
1.7173734046932894	3.7781758531097873
