t_AIF [min],AIF [kBq/cc]
5.58333,8.41374
5.6,8.79615
5.61667,13.633
5.63333,18.5124
5.65,19.0097
5.66667,19.507
5.68333,19.6208
5.7,12.3959
5.71667,4.58288
5.73333,4.05738
5.75,3.53187
5.76667,3.00636
5.78333,7.44992
5.8,12.556
5.81667,12.6931
5.83333,12.8301
5.85,12.9671
5.86667,11.4533
5.88333,9.63252
5.9,9.45097
5.91667,9.35631
5.93333,9.26165
5.95,10.9119
5.96667,13.0327
5.98333,13.4404
6,13.6101
